"","Genotype","DP_2015","DP_2017","DP_2018","DP_2019","DP_2015_2017","DP_2015_2018","DP_2015_2019"
"2004X112-7-0-2",1,-21.3260779046588,38.0241591574099,97.1355474198047,35.1968270571827,8.875,38.3016039051604,37.5546548117154
"2004X151-5-0-4",2,109.983445904865,117.071778205029,77.9272140864714,-20.719839609484,113.4375,101.594316596932,70.9865324267782
"5J030235-4",3,116.955815213186,108.311716141168,57.1355474198047,35.1968270571827,112.542372881356,94.0798524927317,79.3883412523937
"5J030235-7",4,76.9558152131859,88.3117161411677,17.1355474198047,75.1968270571827,82.542372881356,60.746519159398,64.3883412523936
"5J030465-1",5,116.955815213186,68.3117161411677,17.1355474198047,15.1968270571827,92.5423728813557,67.4131858260647,54.3883412523938
"5J030662-13",6,76.9558152131859,48.3117161411677,-2.86445258019528,-4.80317294281729,62.542372881356,40.746519159398,29.3883412523935
"5J040094-1",7,76.9558152131859,28.3117161411677,-2.86445258019528,-44.8031729428173,52.5423728813559,34.0798524927314,14.3883412523937
"5J040150-1",8,96.9558152131859,68.3117161411677,37.1355474198047,-4.80317294281729,82.5423728813559,67.4131858260645,49.3883412523937
"5J050278-4",9,96.9558152131859,88.3117161411677,17.1355474198047,-24.8031729428173,92.5423728813559,67.4131858260648,44.3883412523937
"5J050278-6",10,56.9558152131859,88.3117161411677,17.1355474198047,-44.8031729428173,72.542372881356,54.0798524927313,29.3883412523937
"5J050304-1",11,56.9558152131865,88.3117161411674,77.1355474198047,95.1968270571827,72.5423728813556,74.0798524927318,79.3883412523921
"5J050348-2",12,16.9558152131859,108.311716141168,17.1355474198047,-44.8031729428173,62.542372881356,47.413185826065,24.3883412523936
"5J050348-3",13,36.9558152131859,108.311716141168,37.1355474198047,-44.8031729428173,72.5423728813559,60.7465191593981,34.3883412523937
"5J050390-1",14,76.9558152131859,108.311716141168,-2.86445258019528,-44.8031729428173,92.542372881356,60.7465191593981,34.3883412523937
"5J050390-4",15,96.9558152131859,108.311716141168,37.1355474198047,-44.8031729428173,102.542372881356,80.7465191593981,49.3883412523934
"5J050409-2",16,16.9558152131844,88.3117161411673,37.1355474198047,15.1968270571827,52.5423728813574,47.4131858260637,39.3883412523899
"5J061865-1",17,56.9558152131862,88.3117161411677,57.1355474198047,-44.8031729428173,72.5423728813547,67.4131858260624,39.388341252396
"5J061865-10",18,36.9558152131872,108.311716141168,77.1355474198047,-24.8031729428173,72.5423728813544,74.0798524927301,49.3883412523894
"5J061865-11",19,116.955815213183,68.3117161411675,17.1355474198047,-4.80317294281729,92.5423728813566,67.4131858260662,49.3883412523924
"5J061865-4",20,-43.044184786814,88.3117161411678,57.1355474198047,-4.80317294281729,22.5423728813563,34.0798524927321,24.3883412523908
"5J061865-5",21,76.9558152131853,88.3117161411676,37.1355474198047,-4.80317294281729,82.5423728813557,67.4131858260636,49.388341252396
